Scan #2311,
m/z,Intensity
60.10641479,454798.4375
67.05438995,561579.375
69.07012939,754724.6875
78.70588684,448899.8125
81.06983185,1626474
83.08557129,1181349.375
87.30290985,487168.7188
93.06951904,1040755.188
95.08538818,7356079
96.514534,484693.9688
105.0697708,1213629.125
107.0854416,3897820.5
109.0648117,979885.3125
109.0913467,625466.8125
109.1010971,12523072
111.0801773,3060620.75
118.3178558,426324.125
119.0857315,1706216
121.1013184,3869931.5
123.0804367,1418991.125
123.1167068,3246791.75
125.0600433,1513804.75
125.0959854,4186494.75
127.1130981,580132.875
129.0694885,703903.25
131.0854797,2828393
133.1013489,3660741
135.1172485,2999472.5
137.0957794,3902653.25
137.1325989,1437961.625
139.0749664,3046781.5
139.1114502,1322518
141.0909271,1087734
143.0854797,1510219.625
145.1009674,3649385
147.1170807,2075940.875
149.0962372,1349093.5
149.1329193,1769287.875
151.1117554,2552520.75
153.0908661,2224899.75
155.0858002,5645108.5
155.106781,14369944
156.1092682,593491.25
157.0774078,588440.9375
157.10112,32620992
158.1046906,1129355.5
159.1169891,6636808.5
161.1327972,2052945.125
163.1115723,929361.5
163.1487427,812423.5625
165.1265106,567632.625
169.1007233,1242583.5
169.119873,750204.5
171.1169739,3681350.5
173.0953064,500749.9063
173.1325989,2472717.5
175.1117554,1872634.25
175.1482544,1206491.75
177.1286316,1174731.875
179.1422119,628797.5625
181.1017914,971940.25
183.1168213,8531298
184.120575,652113.4375
185.1328583,3853233.75
187.1486664,1407324.125
189.1289978,697564.6875
189.1634979,898125.25
195.1172638,1027367.5
197.1323395,8264015
199.1483765,2714296.5
201.1276245,991929.375
201.1641388,1115839.625
202.0776215,26975282
203.0815735,3678795
203.1426544,1244826
207.1167908,4731903.5
209.1325684,4332093.5
211.148056,15534878
212.1533051,699073.1875
213.1641388,1472928.5
215.1433563,1438618
217.1587219,647073.3125
221.1325226,734199.1875
223.1478271,2498995.5
225.1637878,2859106.75
227.1795197,829636.375
229.1585999,3407215.5
235.1476288,1322051.75
237.1636963,1103537.875
239.1793213,2573481.75
243.1737823,643685.9375
247.1479034,922485.125
249.1637726,3290738.5
251.1790924,4605943.5
252.1874084,1866636.75
253.1614685,794474.25
253.1946259,11245703
254.2002716,1249727
257.1902771,815789.8125
265.1951294,1333641.625
267.1738892,1353986.75
267.2110901,742443.25
269.1891174,2206814.75
270.1968079,1694058
271.2062378,4098755.25
277.1950989,1478523.875
279.2102356,1996939
281.2272949,1032176.563
283.2042236,814930.5
285.1846619,618483.25
291.2114258,1217388.625
293.2275696,1291762.25
295.2047119,856845.4375
297.2202148,1003922.188
309.2216797,645450.875
371.2737732,1174721.625
389.2832947,3559414.75
407.2939758,8833658
408.2980347,1123118.25
425.3023376,2208457.5
