Scan #2006,
m/z,Intensity
55.05434418,511478.4063
56.99832153,207744.4531
57.06985474,358233.6875
59.04896927,282273.7188
64.11579895,237744.375
67.05422211,677051.8125
69.06985474,1070853.75
71.04893494,295064.7813
81.06977844,1422569.125
83.08545685,4194739.5
85.06472778,2068235.5
90.48542023,193656.7656
93.06976318,2163342
95.079422,156934.5469
95.085495,7605524
97.06471252,593522.4375
97.10136414,456347.1875
105.0697861,554992.25
107.0854034,1455814.625
109.0651932,360631.6875
109.1011581,2871592
111.0803604,6421998.5
111.1164703,318035
119.0857544,883040.5625
121.0648117,245010.5781
121.1011581,4387021
123.0808182,358441.9375
123.1167603,2512477.5
125.0963821,1269714
129.0699921,380642.125
131.0857697,891911.25
133.1009216,1303947.25
135.1168823,833900.5625
137.096344,494578.25
137.1324921,822075.25
139.0755005,528572
139.1116028,3003327
141.0702972,316465.5
143.0857849,615595.5
145.1013336,836032.1875
147.1169891,908987.8125
149.095993,445936.2813
149.1327515,775700.375
155.0855408,2651954.25
157.101181,8667201
158.1043549,418919.5
159.1167908,1321230.5
161.0965576,292384.0625
161.1328125,771574.8125
163.1474609,504609.9688
169.1005402,1005925.813
171.1167145,1188655.25
173.0951996,238391.4063
173.1322937,820298.875
175.1125031,685104.9375
175.1478882,301530.1875
181.1012878,587641.125
183.1167755,5022855.5
184.1212769,355204.2813
185.1324005,1107791.75
187.1488495,404740.6563
195.1164551,1842051.375
196.122406,254713.4688
197.1323547,2821106.5
199.1490326,967728.375
201.1281128,691529.75
201.1646423,357169.1875
202.0778503,8736647
203.0817108,1428547.125
207.0928497,325194.4375
207.1161194,1382644.125
209.1324921,6631038.5
210.1365814,502668.25
211.1483154,4351142.5
212.1521759,325265.0938
213.1640472,671618.625
215.1428528,400693.3438
221.1324615,496099.7813
223.1476135,2317169
225.1645203,1079789.25
227.1433563,1151455.125
227.1795654,265604.875
229.1573181,1252577.375
233.1329498,306855.0625
235.1485138,665924.875
237.1647949,1421188.5
239.18013,490725.9063
241.1599121,213064.6719
241.1915894,218359.0469
247.1477509,517310.7188
249.1638031,1757514.625
250.1710358,852345.4375
251.1461487,475945.125
251.1795197,11058895
252.1856537,1490601.875
253.1942444,1346888.625
255.174942,312780.25
263.1797791,598740.0625
265.1940918,699678.25
267.1749573,872553.25
267.2094421,356273.3438
269.1902771,2506079.25
270.1957703,468968.125
271.2063293,654015.375
275.1787415,327626.0938
277.1956482,572077.375
279.2112122,1127145.625
281.1887512,321237.6563
281.2264709,769012.5
287.2010193,4490653
288.2047424,324815.5
293.2275696,1105994.75
303.2124634,626322.1875
305.2256775,493873.8125
307.2434998,337803.8125
309.2221985,722764.6875
311.2384338,297122.125
321.221405,369775
373.2905273,662063.375
378.7264404,231052.0625
391.3003845,1680315.25
392.3059692,280821
409.3104248,314678.6563
427.3200989,532806.875
