Scan #2637,
m/z,Intensity
66.10236359,6200.078125
67.05435181,7532.079102
69.06996918,16400.83594
81.06989288,38326.35156
83.08560944,21281.08594
84.08148956,7678.339844
91.05426025,6116.168945
93.0699234,8483.191406
95.08547974,164156.9063
96.08876801,6580.398926
97.06522369,13353.68262
97.10126495,9435.28418
101.0207825,5243.625
105.0703964,15061.87012
107.0855942,20309.06445
109.064888,13599.0293
109.1015167,27433.27734
110.459137,5936.348633
111.1167908,6336.283203
113.0960007,234340.0469
113.1058884,11784.39648
119.0855713,11501.04102
121.1008759,26589.26953
123.1168289,47925.54688
124.4771194,6141.029297
131.0858917,7157.475586
133.1008911,40300.42188
135.1163788,35992.04297
137.1330414,9625.670898
139.1114655,5733.929199
141.1270142,26407.38477
145.1012421,35412.40234
147.1172638,46509.57813
149.1327362,22257.77344
151.112442,15571.74707
157.1013336,15444.93945
159.1167297,109339.0469
161.1324921,48613.53516
163.1121063,25765.71875
163.1481018,10362.07129
165.127655,14033.33203
171.1166077,14913.92383
173.1327667,49689.29688
175.148819,24258.87109
177.1273041,34288.85547
177.1645508,10251.92578
185.1333313,16887.61133
187.1483307,29856.2793
189.163559,10844.07129
191.1433411,11133.42578
197.1326752,11486.42773
199.1486053,23453.42969
201.1644592,22306.51367
202.0776062,221607.6094
202.1017914,10478.45801
203.0819702,22859.09961
203.1792145,7778.648926
205.160614,7480.3125
211.1486664,16990.48242
213.1630402,29835.82227
215.180191,12158.9873
223.1474915,7955.534668
227.1796112,12268.51465
227.8320007,7195.214844
231.1755676,7029.092773
237.164032,5833.243164
241.1942596,42194.41797
242.1988831,5833.751953
251.1787415,15636.86621
253.194809,114424.2656
254.1999359,13810.53125
255.2105865,64221.15234
269.1917725,11096.69336
271.2052612,104865.1094
272.2090454,11381.32227
273.2228394,8843.790039
281.2254028,6628.097656
283.2420349,226038.4688
284.2460327,24082.99609
293.2264099,50237.35938
301.2528687,59408.17188
307.2415771,13324.51074
311.2370605,96852.64844
312.2380066,12646.7959
325.2516479,6701.291992
329.2484741,30384.79297
395.3337402,11538.51953
413.1805725,11354.68652
413.3482666,35992.76563
414.3479004,6612.129395
