Scan #3111,
m/z,Intensity
52.57190704,16357.78516
55.05417633,59657.11719
57.0334549,28521.48828
57.06978607,228147.7344
60.04429245,629170.25
60.61091232,15940.08301
66.25806427,15251.91992
67.05422211,58055.14453
69.06974792,370026.375
71.0490036,46756.42969
71.08547211,201402.0313
74.05992889,25319.22852
76.03938293,18675.95313
79.05433655,20641.00195
81.06973267,294324.0313
83.08537292,376624.1563
83.53755188,15272.56738
85.10118866,63570.875
91.05464172,25032.05273
93.00544739,15417.24023
93.06986237,141706.4844
95.08538055,573722.25
96.08892059,26039.13672
97.06481934,32949.83984
97.10095978,217694.9844
99.08084869,25778.5
105.0696869,132242.1094
107.0853958,270142.4688
109.064827,23824.30664
109.1010513,466958
109.1105423,17475.89844
110.104248,22256.85547
111.0806351,63246.01953
111.1165009,144947.5156
113.0597458,20716.75195
113.0959854,159049
117.0701752,28544.76563
119.0853958,147852.4531
119.470993,15418.04004
120.4665604,17909.40039
121.0649643,37683.82031
121.1010132,244536.5156
123.0804977,34384.47266
123.1166992,283563.875
125.0960846,95892.98438
125.1325226,69026.6875
127.0757828,25242.09375
127.1119537,52344.99219
129.0691986,22590.88086
130.1223297,198848.3906
131.0854034,158708.4219
133.1010284,246700.2031
135.0801697,30705.09961
135.1166077,163710.8594
136.1197052,27091.58008
137.0962067,113368.0469
137.1322784,120706.4922
139.0755005,98118.17188
141.0695801,26319.10938
141.1277008,31839.86914
143.085556,65765.30469
145.1009674,228558.1875
147.0809479,25585.14453
147.116745,262366.2188
149.0960846,237470.4063
149.1322174,240928.4844
150.1372681,18920.81445
151.1115417,27168.64063
151.1475983,96167.71875
155.0855408,204365.4531
156.0897675,18471.91602
157.1010895,542828.9375
158.1045074,23892.2793
159.0802002,39120.33203
159.1165924,252536.4219
159.3326721,17080.53906
161.0957031,74262.60938
161.1320801,215500.375
163.1121368,60094.74609
163.148056,198752.2344
164.1520844,24563.64844
165.0911255,28434.75
165.164444,69761.60938
167.1070251,68842.14063
169.101593,63233.05078
171.1160736,120857.7969
173.0958862,278960.9688
173.1324005,180574.2813
175.1116943,218700.2656
175.1288757,24019.47461
175.1325378,18990.76172
175.1480103,134123.7656
177.1278839,74730.60156
177.163559,106139.8047
179.1794281,28452.05273
181.1016541,31671.99414
183.1168213,181306.3125
185.1320496,128893.6016
187.111969,43955.32813
187.1478119,166534
189.1283112,42049.24219
189.1628723,97347.71094
191.1074829,102382.4609
191.142334,24471.26563
191.1801147,76528.57031
193.1223755,85755.09375
193.1963501,37539.01953
195.1173096,87979.97656
197.1324158,156435.0156
198.1362762,17849.79102
199.1122437,33108.3125
199.1480408,191821.0469
200.1521759,21303.57617
201.1270752,157711.6406
201.1631012,136481.4375
202.0774536,543158.0625
202.1677399,19398.79883
203.0802765,75793.69531
203.1437225,71848.04688
203.1793518,69614.51563
205.1957397,43069.6875
209.13237,141558.1094
211.1484222,177909.8594
212.1519165,20215.1582
213.1270447,45649.12891
213.1640625,137985.8281
215.143158,111097.0703
215.1796265,116038.6563
217.158783,68176.05469
217.1946259,87626.10938
219.1375427,130209.4063
219.2105103,61879.07813
223.14711,113570.0391
225.1643219,110744.8047
227.1427917,138871.0156
227.1781769,109166.3359
227.7298584,150310.6719
229.1585999,146613.7813
229.1933289,119537.3359
230.1625824,17560.5625
231.1382904,17765.74219
231.1738739,20541.68945
231.2106018,47725.38672
233.1527863,46755.91016
233.2261353,45307.17578
236.1552582,22155.93164
237.163269,238807.9844
238.1683807,30407.30859
239.1804352,70721.57031
241.159317,70391.32031
241.1951141,115296.2109
243.1756134,52395.16016
243.2113647,113778.4141
245.1538849,66015.63281
245.2265472,63727.89453
247.1694794,64379.98828
250.1712494,132669.4844
251.1788635,202384.7188
252.1849518,24573.09766
253.1946411,149678.2031
255.1745453,88656.45313
255.2116089,94481.82813
257.1928711,30984.66211
257.2264709,63240.42578
259.2427673,22252.26758
261.1853333,18743.12109
265.196228,70474.64063
267.2110901,51504.88672
269.1902771,170438.9531
269.2266235,90143.35938
270.1947021,29522.19922
270.2303162,19481.86914
271.2060547,99702.28125
271.2429504,90712.20313
273.1834412,33384.23438
279.2090149,86179.70313
280.303009,23162.90625
281.2264404,59673.98047
283.2052917,36382.16797
283.2415771,194460.0938
285.2216492,33500.60156
285.258728,26071.23828
286.1927185,27097.6875
287.2003479,120446.4531
287.2724915,22736.37305
289.2170715,46461.92188
292.3017883,37750.70313
293.2245178,87420.51563
295.244873,42111.02344
297.2192688,50087.46484
297.2583008,146540.9219
298.3112183,46784.27344
299.2363892,28801.39648
299.2740784,60019.93359
301.2140503,32401.06641
301.2521667,24266.25391
307.2424011,228207.375
308.2423096,40346.37891
309.2588196,20027.83008
310.3100281,289494.9688
311.2365723,101379.7109
311.2773743,41760.25391
313.2887268,690020.25
314.2921753,92449.73438
317.2463074,20290.17383
321.2565308,105042.2266
323.2728271,28628.37695
325.2494507,148153.4063
325.2970886,85186.64844
326.2545471,28855.57422
327.3052063,60064.46484
328.3205261,262643.1875
329.2483521,43702.8125
335.2753296,41418.07422
339.2652283,80605.19531
341.2814636,78859
343.26297,69963.42188
349.2862549,20720.98242
351.3032532,47089.29297
353.281189,22178.97656
367.3379211,150469.2188
368.3433533,23625.32227
369.3143311,20541.16602
371.2952576,19504.44141
377.3204041,1079922.875
378.3219604,178369.1094
378.3745117,17487.64063
395.3331909,874558.6875
396.335022,163650.2344
396.3882751,27435.80664
413.348877,559145.9375
414.3439331,61669.15625
414.3967896,62301.31641
