Scan #5176,
m/z,Intensity
51.4470787,22922.89063
54.83020782,20837.33203
55.05430603,75934.14844
57.06981659,198125.1719
67.05421448,74900.04688
69.06981659,309203.5625
70.07312775,28913.5625
71.08556366,180645.2188
81.06983185,406927.8438
82.07330322,29267.2207
82.66086578,21447.44531
83.08545685,280164.4375
84.08859253,30864.94336
85.10118103,92799.39844
86.09657288,87416.85938
89.05978394,53609.1875
93.07010651,88661.85156
93.79344177,19054.01367
95.08542633,648444.0625
96.08876038,57994.26563
97.06488037,133327.3594
97.10124207,232022.4063
98.10391235,22705.42383
105.0696335,160331.4375
107.0854187,291952.6563
108.7172623,25130.26172
109.0651779,34144.57031
109.1011353,572717.6875
110.1044159,40373.26953
111.1167297,111044.9219
113.0961075,274334.0313
119.08535,191684.3438
121.0651779,30258.29688
121.1010742,303061.0625
123.0810165,35820.32813
123.1165466,330615.9063
124.1201706,60245.8125
131.0856628,107278.4297
132.1019287,78585.26563
133.0881348,43514.01172
133.1010132,460775.8438
134.1044617,40862.15234
135.1166992,301336.9375
136.1193237,29789.88281
137.0960541,53476.07031
137.1325226,161854.2969
141.1282654,39617.10938
143.0856934,51459.79688
145.1010132,315671.0313
146.1038666,33640.52344
147.1166992,388645.4375
148.1208038,40199.84375
149.1322784,324061.7188
150.1365204,33677.15234
151.1114807,201288.4219
151.148056,114099.1328
157.1008301,272378.7188
158.1042023,34483
158.1541748,34752.61328
159.1168213,658074
160.1205292,77494.16406
161.1323547,557198.375
162.1357574,61092.82813
163.1120911,121511.2891
163.1479797,287593.5
164.1512451,28655.42578
165.1284637,26711.27148
165.1643524,69373.47656
169.1022034,34523.50781
171.1170349,124790.1094
173.1323395,210406.6563
175.1121368,198350.8281
175.1476288,232675.7031
177.1272278,72411.89063
177.1632843,127038.7031
179.1791229,36003.20313
183.1165619,30898.36133
184.121109,25804.24219
185.1320038,192563.0938
186.1361389,64100
187.1482086,225302.2188
188.1509094,31301.46484
189.1634369,90659.19531
191.1793671,61842.12891
193.1960449,27775.7207
197.1331787,85930.59375
198.1366425,30266.07813
199.1483307,312442.0625
200.151413,71037.94531
201.1638031,218071.2031
202.0776215,633438.0625
202.1664276,36558.59375
203.0817566,87913.92969
203.1437531,47665.48047
203.179718,91438.15625
205.1943665,31323.30273
211.1485291,158641.2188
212.1523895,50368.00391
213.1640472,348141.1875
214.167984,65653.07031
215.1794281,141290.7656
217.1597137,49742.80469
217.1958771,79551.34375
219.1749115,28851.41992
219.2103119,89914.50781
224.1515961,23685.46484
225.1645813,91439.52344
226.1684418,60407.80469
227.1787567,131556.3125
227.7331238,235604.75
228.1825714,29352.4375
229.160614,34705.05078
229.195694,98285.78906
230.1981354,27539.70703
231.1745453,48992.96094
231.2112885,36941.92969
233.227066,63238.27734
239.180191,180647.9375
240.1843109,44594.20703
241.1943512,101123.1875
243.2108002,29168.57031
245.2266388,70959.98438
247.2428894,42726.77734
252.1833191,30591.79297
253.1944275,319714.2188
254.1991882,66720.82813
255.2101746,379987.7813
256.2142334,47330.10156
257.192688,44962.65234
257.2271423,71281.63281
258.231781,23989.45508
259.2409363,110854.6875
267.2116394,86733.38281
269.1954346,29235.12695
269.2236633,99753.33594
270.1962891,28307.44922
271.205719,158127.0156
271.242981,98906.95313
272.2075806,34658.14844
273.2244568,28797.73438
273.2569275,130728.0078
280.2140198,35019.87891
281.2259216,86493.14844
283.241272,52789.59375
285.2194824,41972.58594
285.2570496,254437.2188
286.2606812,35870.95313
287.2381287,31877.40625
294.2305603,29505.63672
295.2418823,268152.75
296.2489624,28986.18359
299.2369385,45255.83203
309.2574768,405063.1875
310.2616577,69171.63281
311.2737122,28622.84375
313.2512817,106722.6172
313.2877502,38836.04688
323.2738953,109482.5938
327.268219,79713.67969
337.2888489,367470.5625
338.2938232,59405.25781
378.3225708,53319.37891
379.3358154,2071417.625
380.3390808,408671.625
381.4252319,22479.85156
396.3348083,111810.5781
397.2809753,49699.58594
397.3466492,751829.0625
398.348999,105038.4766
411.3901367,21351.68555
