Scan #2613,
m/z,Intensity
55.05430603,6984.890137
55.75341797,5897.091797
57.03347397,9744.473633
57.07003021,8835.148438
60.04470444,6044.510742
67.05425262,13603.93164
69.07007599,21593.29883
76.33779907,6977.311523
81.06970978,40358.39844
83.08556366,26222.09961
91.05467224,6760.095703
93.0699234,14230.04004
95.08552551,237923.3281
95.09323883,13427.21484
97.06504059,14476.31152
97.10134125,20493.23828
105.0701675,15398.2334
107.0852051,41903.33984
109.0649185,7306.395508
109.1011429,48203.40625
111.0805817,13638.30566
111.1170197,6924.456543
113.0960541,345964.8438
114.0995789,16052.74805
119.0854492,19025.25977
121.1010971,40080.79688
123.1167984,61507.17188
131.0855408,10329.79102
133.1011047,53023.19531
135.1169586,52776.6875
137.0966034,6426.370117
137.1326447,8801.071289
141.1273804,46722.63672
145.1011505,57478.25781
147.1167908,71906.48438
148.1201782,6148.639648
149.1324005,36355.15234
151.1121674,25328.33594
157.1015015,26603.84766
159.1169128,160487.1406
159.1303864,5910.543457
160.1206665,9523.34375
161.1327972,59581.75781
163.1115875,29589.02344
163.1482544,28842.35938
165.1280212,20601.76367
171.1171112,17647.11523
173.1322632,70131.82031
175.1113586,9871.688477
175.1480713,23200.45703
177.1276398,35190.26563
177.1640778,6673.221191
179.1430054,10321.61426
183.1173859,7097.065918
185.1329193,34198.70313
187.1478424,49227.89063
189.1637115,14803.67383
191.1432037,14483.85156
197.1330872,16609.45117
199.1478271,42952.73047
201.1641998,28809.51563
202.0776672,165343.8281
203.0813141,27529.67188
203.1435089,7863.864258
203.1786804,12042.08203
209.1331787,7644.876953
211.1486664,24400.24023
213.1637268,49041.92969
215.1800385,16559.4707
217.1596985,8606.237305
217.1943207,10285.6709
223.1465607,9016.509766
225.1636353,9024.666992
227.1791229,16608.5918
229.1585693,7267.192383
231.1754456,5970.068359
233.1348877,5551.573242
237.1645203,7953.405273
241.1640625,9116.963867
241.1949615,63426.02734
242.197464,6782.045898
243.1761475,6543.947266
243.2108765,8070.937012
251.1788483,17723.33789
253.1949158,169889.0313
254.1983032,21008.92773
255.210907,92644.29688
267.2092285,6483.48584
269.1903076,20904.83594
271.2058105,150924.1563
272.2107849,15553.19043
273.2225647,7174.896973
283.2419739,365012.3438
284.2438354,38516.5
293.2268677,68201.17188
294.2288513,10163.19727
301.2526855,83296.29688
302.2565918,9614.081055
307.2424011,11923.32031
311.042511,6585.008789
311.2370605,141036.2031
312.239563,20006.50586
325.2519226,17522.7793
329.2483215,42404.08594
377.3207397,13082.08008
395.3299866,18356.15039
412.3453674,7955.165527
413.2896423,8442.179688
413.3442078,52784.13672
414.2162781,6297.755859
414.3446045,9316.178711
