Scan #5151,
m/z,Intensity
55.05430222,248119.3438
57.06991959,938503.25
62.70763779,89966.9375
67.05427551,322592.7188
69.06990814,1109241
71.08551025,842240.875
78.41719818,94664.94531
81.06983948,1985208.5
83.04949951,171018.2188
83.08538818,1138408.375
85.10124207,360476.4063
91.05446625,145227.2813
93.06970978,459229.5313
95.08547211,2839196.5
96.08882904,176385.5
97.06448364,578862.375
97.10123444,956114.875
105.069519,528779.9375
107.0854187,1273733.375
108.0887909,121679.4844
109.0645752,167237.3906
109.0922546,69358.79688
109.1010971,1967067.875
111.1168671,504681.5625
113.0958557,801304.25
117.0697784,102349.8047
119.0852814,885037.8125
121.1010056,1334136.625
123.11689,1325522.625
124.1194458,140021.5156
125.1325989,159555.625
131.0856781,402688.8125
133.101181,2301259.5
134.1043701,191552.5938
135.116745,1419330.375
135.1292114,102812.2969
136.1208649,180028.0938
137.0961151,275853.0313
137.1325531,727180.3125
141.127655,149412.3438
143.0857544,258823.1406
145.1013794,1449036.5
147.1167908,1801754.5
148.1195526,104916.9453
149.0963745,108617.6328
149.1325989,1339114
151.11203,1058409.5
151.1483612,391815.1563
157.1009674,1047448.688
159.116806,3453934.25
160.1207733,197807.2813
161.1325073,2626722.25
162.1353149,126406.3516
163.112442,705589.9375
163.1295166,108537.6875
163.1480103,1353081.5
165.1642914,166653.1563
171.1167297,550602.375
173.1321869,848932.4375
175.1115875,930950.5625
175.1477509,982558.8125
176.1154022,161231.5938
177.127533,485300.625
177.1640472,708695.4375
179.1804352,170831.1719
183.1174927,142262.0156
185.1325073,957315.6875
187.148407,876919.3125
189.1639709,492759.5
191.1800385,399932.9063
197.1338348,372758.7188
199.1485443,1432172.5
200.1506195,151609.0156
201.1638489,1073429.375
202.077652,4631458.5
202.1018066,142495.6406
203.0810547,552910.375
203.1436005,109331.3359
203.1799622,434435
205.1951447,258872.7813
211.1483612,594017.8125
213.1635742,1411642.75
214.1678009,125285.9609
215.1800842,633403.875
217.1595459,270615.5625
217.195343,363203.375
219.211792,406345.125
225.1636505,474654.0313
227.1792297,516946.8125
227.7218323,501024.1875
227.7543335,495715.9375
228.1842499,116558.5078
229.1609802,118202.2813
229.1958618,352280.5938
231.1746521,306164.0938
231.2112122,298094.5313
233.2266693,277099.6875
239.1793823,1017335.688
240.1835175,132505.2656
241.1960297,372318.0313
243.1769257,132378.2813
243.209259,136955.375
245.1931763,155032.75
245.2266693,236290.1406
247.2427216,132903.9063
253.1640778,69002.65625
253.195282,1505269
254.199234,283634.1875
255.2110596,1330110.5
256.2141418,253030.9063
257.1904297,238428.2813
257.2272644,238629.0469
259.242157,593985.125
264.0295105,117149.9609
267.2114868,445245.1875
269.2273254,361236.6875
270.1974792,107944.4922
271.2064819,975722.5625
271.2431335,342151.25
273.2232361,165618.25
273.2587891,677067
281.2261047,592133.0625
283.2417603,297891.2188
285.2218018,114080.375
285.2574768,995086.375
286.2607117,211892.4219
295.2417908,1174567.875
296.2464905,235077.2969
297.2578125,143486.75
299.2380066,260397.9688
299.2758179,154143.4375
309.2575684,2042222.5
310.2617493,245731.3125
313.2524109,283257.1875
313.2914429,261845.5
314.2556152,124425.5859
323.2719116,434268.2188
327.2690735,359245.3125
337.2888794,1723320
338.2936096,297495.7813
341.2850952,114331.1094
379.3360291,10947249
380.3390808,1992932.125
396.3352356,373383.5938
397.34729,3307674
398.3495789,648880.8125
