Scan #1971,
m/z,Intensity
54.50866318,253333.5469
55.05430222,992110.75
57.06988525,559590.8125
67.05406952,698598.3125
69.06967163,1409651.625
81.06987,2298152.5
83.08547974,6242224.5
85.06485748,3416589.75
93.06995392,3025040
95.08548737,10999043
97.06474304,764289.125
97.10128021,508312.5313
99.08031464,349248.0313
105.0700684,685012.625
107.0854263,2363907
109.0647354,636114.25
109.1011429,5237811
109.1100159,467135.6875
109.947525,293015.5938
111.0803299,9232600
111.1168671,411457.9688
119.0854263,1071512
121.0645676,309272.1563
121.1009293,5076154.5
123.1166611,3235346
125.0960388,1974972
129.0697021,391108.4375
131.0853882,1389342
133.1011658,2014936.75
135.116745,1580593.125
137.0961609,504309.375
137.1324921,1045156.188
139.0757294,651822.375
139.1117706,5259823
143.0856476,750714.9375
145.1014862,1425239.625
147.1165161,1901745.375
149.0966034,588623.1875
149.1322784,605554.9375
150.8096466,250360.1719
151.1481476,504468.7813
155.0852509,3292499.5
157.1010742,13748422
158.1050873,624369.625
159.1171417,2394923
161.096283,360388.2813
161.132843,1172929.375
163.1477203,754431.5625
167.0858917,303188.9688
169.1001434,1448110.875
171.1170502,1512110.375
173.0969086,710540.625
173.1328888,494578.9688
175.1118774,1115193.5
175.1483459,379650.3125
181.1011505,1234169.125
183.1166382,7579623.5
183.1358337,557101.6875
184.1204529,450726.3438
185.1316681,1716017.5
187.1477814,663170.9375
189.1291656,315604.6875
195.1168976,2781978.75
196.12146,294345.6563
197.1326599,4462601.5
198.1365051,344377.3438
199.1480255,1126522.75
201.1262665,1350293.5
201.1638641,603082.0625
202.0775604,11704221
203.080719,1726330.375
207.1166229,1722074.75
209.1325073,10139016
210.1374054,517260.5
211.1482086,7251637
212.1524506,525752.75
213.1639862,1095189.5
215.1424866,721879.0625
215.1808167,292819
221.1327057,841842.375
221.1586761,326586.9375
223.1489563,2669941.5
224.1493835,314942.75
225.1638947,1723084.875
227.1434174,1348028.5
227.1794281,465461.625
229.1580048,1665152.75
231.1745148,324833.0313
235.1492462,904988.875
237.1633911,2262823.25
239.1802826,576074.5
241.1595306,446258
241.1954803,359038.8438
243.1761475,373252.1563
247.1471405,645518.8125
249.1637421,2214482.75
250.1699677,1312489.5
251.1795959,14754296
251.2062378,313681.125
252.1836395,2230412.5
253.1947632,2596759
263.179657,888572.3125
265.1950684,1173425.625
267.1737061,1111932.375
267.2092285,635077.125
269.1903992,4573030.5
270.1973877,1085367.125
271.2054749,943252.75
275.1787415,437830
277.1947632,886452.75
279.2097473,1440302
281.2254639,1061370.125
287.2003479,7295309
288.203125,435412.125
291.210144,744091.5625
293.2269897,1488056.375
297.2208252,337133.875
303.2104492,896284.9375
305.2244873,561962.125
307.2440186,419484.9375
309.2239075,733756.25
317.2268982,375311.8438
321.2203674,467755.875
373.2896729,1264816.875
391.2998657,2636606.75
409.308075,666350.6875
409.7683411,286891.1875
427.3180237,869980.375
