Scan #1627,
m/z,Intensity
55.05416489,56896.01172
57.03349304,190233.5156
64.15647888,14183.46484
67.05401611,17126.56445
69.06972504,47659.08594
70.4397583,14101.7998
79.05414581,14249.21973
81.06983948,125026.0859
83.08545685,418789.9063
90.05469513,26660.83594
93.06984711,141217.2969
95.08542633,285884.6563
97.06478882,28940.16211
97.10099792,22350.33594
105.0696793,52772.59375
107.0855789,136058.1406
109.0651398,19178.80859
109.1009903,162813.375
111.0702362,21255.0918
111.080307,972592.625
111.1167908,51450.88672
112.0838165,28845.17383
113.0960007,101363.5781
115.6007538,13910.47461
119.0854568,71746.30469
121.064949,24146.74805
121.10112,170846.2031
123.0802155,21552.32422
123.1167526,254332.3281
123.3065414,14173.47363
125.0962067,32668.27344
131.0852814,72806.50781
133.1009521,148488.2344
135.1166077,142925.875
137.0958862,63193.17578
137.1323547,43676.29297
139.0755615,34234.375
139.1113892,105852.0078
141.1273499,997457.125
142.1308594,48580.30859
143.0856018,41953.71484
145.1008911,132483.625
147.1166229,180617.8281
148.1205444,18744.82227
149.0960846,29255.29688
149.1322784,143516.7344
150.1368256,16437.31055
151.1123962,32043.29688
155.0854034,39173.85156
157.1010437,696717.125
158.1037903,24286.29297
159.1167297,284915.0313
160.1191101,17735.72266
161.0957947,29700.36328
161.1325073,171326.0313
163.1117859,40272.32422
163.1479645,82279.16406
165.1262054,30042.05469
171.1174316,81728.04688
173.1323242,166585.8594
175.1117554,34783.90625
175.1483002,108159.0391
177.1283112,65389.36719
177.1633759,37580.625
181.1005554,17023.02148
183.1168671,48968.67578
185.1321259,90877.24219
187.1476288,100658.2734
189.128067,16515.65625
189.1633911,101952.1641
191.1431122,24546.85547
195.1166687,19998.19922
197.1331177,81849.71875
199.1479645,88551.875
199.6411438,13716.64258
201.1277924,20618.53125
201.1637726,111481.4297
202.0774689,590606.25
202.1669006,19176.63281
203.0820007,90054.67188
203.1432495,27683.58789
203.1782074,77679.64063
209.1321411,34941.26563
211.147644,78349.98438
213.1630402,98841.59375
215.144104,17880.30078
215.1792145,36495.64453
217.1572876,20744.95313
217.1957245,33310.76172
225.1637726,53537.46094
227.1790161,63954.42969
229.1595459,20924.21094
229.1948242,53483.04688
231.17659,18385.51953
231.2106476,33839.00781
237.1611328,27299.77734
239.1796875,24604.89063
241.1601868,12300.08203
241.1936493,63746.37891
243.177002,23003.71875
243.2105255,120372.4688
245.1903381,32092.58398
251.1792297,182363.5781
252.183075,34873.54688
253.1950226,1339082.125
253.2306213,16352.82813
254.1981354,129652.1094
255.2109985,149177.2031
257.2256165,20122.75195
259.2054443,20692.79297
267.2118835,28222.93945
269.1895752,56543.28906
269.2236328,26213.35352
271.205719,420038.0938
272.2091675,51303.1875
273.2207642,38461.16406
281.2262573,127735.4453
283.2097473,12479.93359
283.2416992,447487.5938
283.2814026,18081.22656
284.2457581,52512.46875
287.2005615,96343.35156
289.2156982,93235.96094
293.2261963,193448.1406
294.2325134,27975.50391
299.2376099,36315.54297
301.252533,107605.7344
309.2227173,25117.36719
311.2369995,295023.5313
311.2808533,25139.33008
312.2381897,28370.26758
329.2493286,77626.34375
330.2539368,21378.54297
375.3027344,30678.60156
393.3164368,90002.60156
394.3201599,14744.76465
411.3258362,49260.55859
429.2648315,51703.14063
429.3356628,636800.3125
429.3938904,8658.074219
430.3393555,110028.3984
441.9851074,14361.36621
