Scan #2776,
m/z,Intensity
52.48518372,66779.3125
55.05430222,240128.7344
57.03366089,92477.64844
57.0698204,491301.5938
65.18621063,81119.19531
67.05419159,77943.71875
69.06984711,932082.9375
71.08544922,469143.0625
72.34642029,69905.32031
81.0696106,701403.375
83.085495,976212.5625
85.10127258,251172.25
93.07012177,227715.8438
93.69872284,61789.03516
95.08547211,1613282.5
95.09269714,129300.5859
97.06491852,84424.24219
97.10108185,707227.25
100.6780472,66305.85156
105.0699387,249385.0938
107.0853958,593288.9375
107.4595795,84089.45313
109.0646286,94960.89844
109.1010895,1008936
109.7036819,61186.93359
111.0803757,76837.53906
111.1170044,291868.7188
113.0958862,429144.125
119.0855103,289122.75
121.0649033,101531.5625
121.101326,534138.25
123.0811234,74349.95313
123.1167908,754953.0625
125.1331329,152890.9531
129.4660492,72314.75781
131.085556,347340.3438
133.1017761,478823
135.1168365,489340.2813
137.0959778,103924.9609
137.1324615,302151.0313
139.0751801,224064.7031
143.0857391,127850.9766
145.1013184,649761.6875
147.0828857,75023.73438
147.116745,567856.0625
149.0959015,501466.7813
149.1322784,667955.5625
151.1115112,98688
151.1481018,211993.25
152.1324005,61636.77734
155.0855865,607371.5625
157.1010742,1488082.375
159.1166534,670570.9375
161.0962677,185382.1094
161.1327362,504827.6875
163.1109924,138537.7813
163.1480103,495133.7813
165.0907288,91497.53906
165.1635895,163060.3281
167.1068726,121166.1797
169.1013184,147816.3281
171.1170502,270198.25
173.0957489,470075.0938
173.1314697,326223.9688
175.1127014,376445.1563
175.1485901,264388.9688
177.1276855,134489.5469
177.1639252,246240.5313
179.1802521,117903.4688
183.1162872,360485.5625
185.1329803,428719.6875
187.1475983,470497.2813
189.1641846,213116.6094
191.1798096,116536.2578
193.1225128,223589.0469
195.1165771,210130.6406
197.1320648,349369.3125
199.1482697,419613.6875
201.1268768,399173.0938
201.1639404,284969.9688
202.077774,2771889
203.0814362,302476.5
203.1435852,183441.2188
203.1796875,171389.9844
209.132019,337231.0625
211.1482544,500238.6563
213.127121,168447.875
213.1638794,342539.0313
215.1431122,294893.0938
215.18013,178605.7031
217.1601257,109259.7109
217.1951141,242192.3906
219.1378174,265074.5313
219.2106018,215027.3438
223.1483765,174694.0156
225.1635742,187434.0625
227.1433258,264326.8125
227.179184,304214
229.1594849,287304.6563
229.1945953,141843.5
231.1742401,102820.7422
231.2090607,155199.5469
233.1540985,102889.7891
233.2250824,133049.5156
237.1637421,664945.0625
239.1788483,137989.2031
241.1589508,115131.625
241.1950531,207909.9375
243.1746063,231550.9688
243.2106934,285860.2188
245.1543732,191557.2344
245.2261963,209479.0469
247.1688995,153861.375
250.1718597,313729.0938
251.1786652,485535.6563
253.1953125,354670.7813
255.1736603,194625.1875
255.210968,195524.0781
257.1912842,70827.72656
257.226532,187374.4844
265.196228,205605.0625
267.2098694,150938.875
269.190094,477826.0313
269.2267456,312293.75
271.2052917,271821.9063
271.2417603,213933.6719
273.1843567,81784.73438
279.2118835,178927.8438
281.225708,91112.40625
283.2059631,132547.0781
283.2409363,505341.1875
287.2003174,248854.2969
293.2263489,308693
297.2217102,171547.4219
297.2581482,306944.8438
299.2747498,155355.2344
301.2536621,136802.3125
307.2416077,517339.5625
311.2366943,304108.9688
311.2764893,108930.8594
313.2890015,1516137.25
314.2919312,164722.6875
321.2581482,281835.5938
323.2734375,125829.5859
325.2494507,477731.875
325.2923584,251784.5469
327.3055115,134075.9844
329.2471619,81414.66406
339.2670593,167479.1094
341.2831116,273625.6875
343.2618713,164795.2969
351.3051453,164775.2813
357.2813416,81277.97656
367.3371277,471707.75
369.3146362,119150.0781
377.3201599,2707137
378.3242188,339252.9063
395.3342285,2218077.5
396.336792,398237.5625
413.3472595,1514038
414.349762,179231.125
