Scan #4841,
m/z,Intensity
55.05427551,210115.5938
57.0697937,690940.5625
63.27553558,66459.14063
67.05417633,223219.0156
69.0697937,921140.5625
71.08544922,580940
79.05419922,125059.9844
81.06987,1156550.625
83.04918671,152702.8906
83.08551025,926240.0625
85.10134125,311798.9063
86.09640503,375807.375
91.05477142,88444.51563
93.06975555,339695.2813
95.08546448,1998836.875
95.092659,149316.3281
97.06480408,484940.5625
97.10093689,560512.5625
105.0698547,457078.0625
107.0856552,948805.3125
109.0653,123049.1563
109.1011047,1455049.25
109.1098938,131534.3125
111.1169739,331905.2188
113.0959091,593681.5625
119.0853806,707850.375
121.1011276,824024.1875
123.0807266,96127.46875
123.1165466,901115.375
125.132637,146846.4375
131.0855408,311026.5
132.1018677,401865.2813
133.1011505,1579501.375
135.1167755,892565.5
137.0964355,142250.875
137.1323547,561367.625
143.085968,212120.4375
145.1009674,897045.5
147.1165771,1554898.125
149.1323547,1028097.438
150.1362152,96066.53125
151.1116333,870274.375
151.1480103,339177.375
157.1009827,675551.4375
159.116806,2222655.75
160.1199341,176697.3281
161.1324768,1888132.375
162.1362152,135648.1094
163.1118317,353221.4688
163.1481934,900482.125
164.1517029,101094.3203
164.4811707,81713.73438
165.1276093,104648.4219
165.1637726,167103.7031
171.1170197,351527.9688
173.1324921,785364.875
175.1121826,658632.75
175.1481476,654171.9375
177.127533,194098.0313
177.1644745,505064.0938
182.4742126,79834.07813
183.1177979,172351.5781
185.1322937,810885.4375
187.1479797,689497.0625
189.1636963,390909.6563
191.1434174,98531.48438
191.1796265,213191.375
197.1322632,224519.0781
199.1481018,977045.875
201.1640472,769238.0625
202.0775909,3689447.5
203.0813141,359143.3125
203.1799164,275934.1563
205.1941528,85864.77344
208.1233978,95510.71094
211.147934,441408.9688
213.1636505,933541.3125
214.1693573,86072.78906
215.1793671,535786.5
217.158783,172543.4844
217.1950989,282157.8438
219.2107086,357051.25
225.1641693,185536.6875
227.1809692,478079.2188
229.1648865,80541.54688
229.1955566,280941.7188
231.175354,231523.7344
231.2115936,224363.4531
233.2263794,172898.1094
239.1791992,763478.9375
240.1831665,119507.6875
241.1949463,287924.0938
243.2108002,171141.6563
245.2261047,168984.1406
247.243515,129471.3828
253.1954498,1159641.5
254.1989288,167970.9219
255.2102814,1237021.625
256.2147217,122203.8906
257.1907654,114272.5469
257.2257385,159678.1875
259.2416077,289436.1875
267.2114258,261008.4063
269.2273254,257701.9063
271.205658,721352.5
271.2422791,300545.3438
273.2579041,356981.9688
281.2251282,452383.0625
283.2420044,246370.5938
285.2563477,805924.25
295.2417603,985768.5
299.2371521,170154.4063
309.2575073,1387549.75
310.2614746,245611.75
313.2507629,251335.1875
313.290741,131994.6094
323.2727051,350781.4688
327.2689819,320223.4688
337.2889404,1363905.25
338.2926025,128902.3516
339.3063965,131644.2656
341.278717,131079.2188
379.2696533,92060.76563
379.3358154,6873641
380.338623,982758.3125
389.9117737,98964.00781
397.3463135,2195403
398.2458801,108041.6641
398.3504028,264011.75
