Scan #2286,
m/z,Intensity
55.0540123,688364.5
55.41928101,657126.4375
58.01459503,626750.4375
61.55516052,634437.3125
69.06978607,1372550.5
81.06964111,3848244
83.08539581,699318.6875
90.04639435,691160.0625
91.05442047,620852.9375
93.06971741,1854799.625
95.08547974,8671542
97.3199234,650350.125
99.08042145,958545.3125
105.0701675,899847.375
107.0855713,5290247
109.0646515,757987.625
109.1010971,15667948
111.0806885,4231183.5
119.0858307,1772981.375
121.0655823,874456.375
121.1010666,5993548
123.0799026,1636996.25
123.1164932,4112561.5
125.059494,2267829
125.0960007,4851962.5
127.0750885,952689.375
131.0853424,3284190.25
133.101181,4878169.5
135.1167908,4796909
137.0959473,8155186
137.1324005,1592186.625
139.0751648,4307287.5
139.111908,1971700.75
141.0904694,1362534.875
143.0855713,3224023.75
144.5015106,624779.8125
145.1010132,5632310
147.116745,3362618.25
149.0961914,1577362.25
149.1326599,1873371.375
151.1113739,4259901
153.091217,2585018.25
155.0858917,7220862
155.1067352,20392752
157.0875092,675878.4375
157.1010284,42320908
158.1047058,1886765.375
159.1167755,9409802
161.1324768,3333805
163.1105804,725001.875
163.148819,1300094.25
169.1010742,2117880
171.1169281,4813844
173.1321106,3165878.25
175.1114655,2369920.25
175.1486511,1905639.25
177.1282043,1387764.5
179.1426849,938124.75
181.1010742,1365641.5
183.1167908,12282644
185.1320801,6526682
187.1481476,1835657.5
189.1289063,1185822.5
189.1638641,894968.6875
191.1414948,717245.125
195.1168518,2061146
197.1322174,11759366
198.1367035,1118140
199.1483002,3779198
201.1279755,1162499.5
201.1636047,1085653.125
202.0776825,29509998
203.082077,3086694.75
203.1433411,957188.4375
207.1170502,6338166
209.1324768,5513662
211.1481018,22392776
212.1505585,1139247.5
213.1639862,2674491.75
215.1439667,1925116.75
219.1757813,740594
221.1321869,1777709.625
223.1482849,2382968.5
225.1636047,4205562.5
227.1803589,1020294.813
229.1581573,4646011
235.1485138,1477028
237.1637268,2227484.75
239.1791992,4669194
247.1477356,1498899.625
249.1638794,4501852
251.1789703,6878609
252.1870422,3006979.25
253.1950378,13987567
254.1992035,1268050
263.1796265,1085899
265.1948547,2634958.5
267.1748657,1288643.125
269.1902466,2910039.75
270.1977539,2322858.75
271.2050171,3827565.5
275.1773987,912824.0625
277.1938782,1756189.25
279.2109985,2774826.75
281.2264099,867153.0625
291.2114258,1603578.75
293.2282715,1319277.25
294.2353516,983964
295.2064514,998940.75
297.22229,1179572.75
301.1937256,1132348
371.2713623,1144808
389.2843323,4288028
390.2880249,834015.5625
407.2941284,12389777
408.2955017,977796.25
425.306488,2179849.25
